,DT,RF,XGB
Accuracy,0.8274760383386581,0.8610223642172524,0.8913738019169329
B-Accuracy,0.747068511198946,0.7169631093544137,0.8120223978919632
Precision,0.5441176470588235,0.6987951807228916,0.7321428571428571
Recall,0.6166666666666667,0.48333333333333334,0.6833333333333333
F1-Score,0.578125,0.5714285714285714,0.7068965517241379
MCC,0.4716781746281711,0.5036662059317845,0.6409011876256492
ROC-AUC,0.747068511198946,0.7169631093544137,0.8120223978919632
