,DT,RF,XGB
Accuracy,0.8514376996805112,0.8610223642172524,0.8913738019169329
B-Accuracy,0.7714262187088274,0.7169631093544137,0.8120223978919632
Precision,0.6062992125984252,0.6987951807228916,0.7321428571428571
Recall,0.6416666666666667,0.48333333333333334,0.6833333333333333
F1-Score,0.6234817813765182,0.5714285714285714,0.7068965517241379
MCC,0.5313681755721135,0.5036662059317845,0.6409011876256492
ROC-AUC,0.7714262187088273,0.7169631093544137,0.8120223978919632
