Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,0.030042016511123364,0.030042016511123364,
2001-02-01,-0.38558036265927403,-0.38558036265927403,
2001-03-01,-1.366693825192247,-1.366693825192247,
2001-04-01,-0.5418363689633158,,
2001-05-01,-0.49078814768237167,,
2001-06-01,-0.7183392126675758,,
2001-07-01,-0.6875171727328947,,
2001-08-01,-1.4268171538158694,,
2001-09-01,-1.514060333234052,,
2001-10-01,-1.3896350757721456,,
2001-11-01,-0.5559691789236483,,
2001-12-01,-0.5047444965411635,-1.1539100724045577,
2002-01-01,-0.8001076926870413,-1.0962570439593442,
2002-02-01,-0.45863257200769736,-1.3370521510262192,
2002-03-01,0.04291094329167458,-1.0255317871702172,
2002-04-01,-0.9075398147613337,-1.964896654744354,
2002-05-01,-0.90980477431819,-1.6618476600897747,
2002-06-01,-1.1432176477869445,-2.0495914180193675,
2002-07-01,-1.468668133281283,-2.051435048738052,
2002-08-01,-1.1090811369729183,-1.9224022129743683,
2002-09-01,-1.167806762033931,-2.9352184139038098,
2002-10-01,-0.6842120012136197,-1.4843131496830733,
2002-11-01,-0.7893295314893443,-0.7893295314893443,
2002-12-01,-1.0791016387007415,-1.0791016387007415,
2003-01-01,-1.1465220002531582,-1.1465220002531582,
2003-02-01,-1.1243682989747683,-1.1243682989747683,0.8680984040945062
2003-03-01,-1.3195473020243766,-1.3195473020243769,0.9529621825328625
2003-04-01,-0.5317513341893177,-0.5317513341893177,0.9370200328184108
2003-05-01,-0.25025642374961665,-0.25025642374961665,1.4709766061026255
2003-06-01,0.11680282447492242,0.11680282447492245,1.642167956849016
2003-07-01,0.605543329057696,0.605543329057696,1.6697836755144468
2003-08-01,0.6729150333780997,0.6729150333780997,1.9299528936833208
2003-09-01,1.4467055465699645,1.4467055465699645,1.4467055465699645
2003-10-01,1.3583788272376884,1.3583788272376882,1.3583788272376884
2003-11-01,1.0763505949149363,1.0763505949149361,1.0763505949149363
2003-12-01,2.1896879739242685,2.1896879739242676,2.1896879739242685
2004-01-01,2.779534036659347,2.779534036659346,2.779534036659347
2004-02-01,3.2499087815105376,3.2499087815105363,3.2499087815105376
2004-03-01,2.940467674518312,2.940467674518311,2.940467674518312
2004-04-01,2.3432937395625264,2.3432937395625255,2.3432937395625264
2004-05-01,2.157757855870613,2.1577578558706123,2.157757855870613
2004-06-01,2.2669600752607293,2.266960075260728,2.2669600752607293
2004-07-01,1.4371171692036129,1.4371171692036122,1.4371171692036129
2004-08-01,1.2392057180573872,1.2392057180573868,1.2392057180573872
2004-09-01,1.532442289193877,1.5324422891938763,1.532442289193877
2004-10-01,1.3025689205095374,1.302568920509536,1.3025689205095374
2004-11-01,1.5643278060077326,1.5643278060077312,1.5643278060077326
2004-12-01,1.47540922813761,1.4754092281376086,1.47540922813761
2005-01-01,0.8487474202732481,0.8487474202732473,0.8487474202732481
2005-02-01,0.9328625167357956,0.9328625167357946,0.9328625167357956
2005-03-01,0.8374182922808991,0.8374182922808985,0.8374182922808991
2005-04-01,0.8472637102596413,0.8472637102596406,0.8472637102596413
2005-05-01,0.9942584773724192,0.9942584773724185,0.9942584773724192
2005-06-01,0.7784895584447057,0.7784895584447052,0.7784895584447057
2005-07-01,1.694434909743674,1.6944349097436728,1.694434909743674
2005-08-01,1.5010509892710167,1.5010509892710155,1.5010509892710167
2005-09-01,1.4724701860347253,1.4724701860347247,1.4724701860347253
2005-10-01,0.9665751053168526,0.9665751053168519,0.9665751053168526
2005-11-01,0.9829490293527021,0.9829490293527013,0.9829490293527021
2005-12-01,0.5895587580109785,0.5895587580109781,0.5895587580109785
2006-01-01,1.1501624475983956,1.1501624475983947,1.1501624475983956
2006-02-01,0.9839291159582542,0.9839291159582535,0.9839291159582542
2006-03-01,1.5111796311789016,1.5111796311789005,1.5111796311789016
2006-04-01,2.043508477307973,2.043508477307971,2.043508477307973
2006-05-01,1.0691998996154033,1.0691998996154026,1.0691998996154033
2006-06-01,1.0792204986057592,1.0792204986057583,1.0792204986057592
2006-07-01,0.7512874971615667,0.751287497161566,0.7512874971615667
2006-08-01,1.1897126296725258,1.1897126296725244,1.1897126296725258
2006-09-01,1.4240903498456243,1.424090349845623,1.4240903498456243
2006-10-01,2.2624379871485734,2.262437987148571,2.2624379871485734
2006-11-01,2.16029358154596,2.160293581545957,2.16029358154596
2006-12-01,2.5260823827680836,2.52608238276808,2.5260823827680836
2007-01-01,2.4672504175903205,2.467250417590317,2.4672504175903205
2007-02-01,1.7738910436958601,1.7738910436958581,1.7738910436958601
2007-03-01,1.700055679434301,1.7000556794342991,1.700055679434301
2007-04-01,1.8758675816990336,1.875867581699032,1.8758675816990336
2007-05-01,3.2687586596491367,3.268758659649132,3.2687586596491367
2007-06-01,2.6813720754119914,2.6813720754119883,2.6813720754119914
2007-07-01,1.8544756770946573,1.8544756770946562,1.8544756770946573
2007-08-01,1.7581295280147047,1.7581295280147036,1.7581295280147047
2007-09-01,1.8437312833485477,1.8437312833485464,1.8437312833485477
2007-10-01,1.7048881312701585,1.7048881312701574,1.7048881312701585
2007-11-01,0.8390477673075113,0.8390477673075109,
2007-12-01,0.5654221633281266,0.5654221633281262,
2008-01-01,-0.19046436687406376,,
2008-02-01,-0.24335921599820995,,
2008-03-01,-0.43262161864598586,,
