,DT,RF,XGB
Accuracy,0.9297124600638977,0.952076677316294,0.9440894568690096
B-Accuracy,0.8606786133960047,0.8675088131609872,0.8395759890325107
Precision,0.6785714285714286,0.8235294117647058,0.8
Recall,0.7702702702702703,0.7567567567567568,0.7027027027027027
F1-Score,0.7215189873417721,0.7887323943661971,0.7482014388489209
MCC,0.6832765239786083,0.7626259813507795,0.7188102472471484
ROC-AUC,0.8606786133960046,0.8675088131609872,0.8395759890325107
