,DT,RF,XGB
Accuracy,0.9249201277955271,0.952076677316294,0.9440894568690096
B-Accuracy,0.834557383470427,0.8675088131609872,0.8395759890325107
Precision,0.6708860759493671,0.8235294117647058,0.8
Recall,0.7162162162162162,0.7567567567567568,0.7027027027027027
F1-Score,0.6928104575163399,0.7887323943661971,0.7482014388489209
MCC,0.6505471888157071,0.7626259813507795,0.7188102472471484
ROC-AUC,0.834557383470427,0.8675088131609872,0.8395759890325107
